Id,n_Artifacts,RMSSD,meanNN,sdNN,cvNN,CVSD,medianNN,madNN,mcvNN,pNN50,pNN20,Triang,Shannon_h,ULF,VLF,LF,HF,VHF,Total_Power,LFn,HFn,LF/HF,LF/P,HF/P,DFA_1,Shannon,Sample_Entropy,Correlation_Dimension,Entropy_Multiscale,Entropy_SVD,Entropy_Spectral_VLF,Entropy_Spectral_LF,Entropy_Spectral_HF,Fisher_Info,Lyapunov,FD_Petrosian,FD_Higushi
14,0.043478,51.711450,1205.000000,39.597846,0.032861,0.042914,1205.000000,35.000000,0.029046,27.272727,72.727273,1467225.703856,5.492261,0.000000,0.000000,67773022054.598320,280544730764.989868,3329907180.834172,564465538082.640625,0.194572,0.805428,0.241577,0.120066,0.497009,0.806279,3.970573,1.791759,0.279944,inf,0.147132,0.006401,0.006401,0.006401,0.937390,inf,1.062681,2.940956
15,0.363636,16.216133,855.714286,8.758971,0.010236,0.018950,853.333333,3.333333,0.003906,0.000000,14.285714,333162.718652,4.857171,0.000000,0.000000,0.000000,3811489148721.965820,0.000000,7780713907069.010742,0.000000,1.000000,0.000000,0.000000,0.489864,nan,2.521641,inf,-0.000000,inf,0.076667,0.000713,0.000713,0.000713,0.971943,inf,1.118302,nan
16,0.000000,15.575384,684.385965,26.621551,0.038898,0.022758,680.000000,20.000000,0.029412,0.000000,10.526316,621436.594487,5.216551,0.000000,0.000000,0.000000,55641931645.006119,6099860378.770222,149455142384.533997,0.000000,1.000000,0.000000,0.000000,0.372299,1.394646,3.826875,inf,0.563086,1.386294,0.085672,0.008515,0.008515,0.008515,0.967891,inf,1.014206,2.514756
17,0.000000,12.260783,786.095238,19.975241,0.025411,0.015597,786.666667,16.666667,0.021186,0.000000,8.571429,628475.463704,5.476855,0.000000,0.000000,32648333387.769402,24649419469.101921,844522559.902110,107194899024.873199,0.569801,0.430199,1.324507,0.304570,0.229950,1.442924,3.978864,1.481605,0.946507,inf,0.065114,0.004101,0.004101,0.004101,0.976965,inf,1.012733,2.205433
18,0.553191,22.558566,606.666667,15.846486,0.026121,0.037184,603.333333,3.333333,0.005525,9.523810,9.523810,188280.985293,4.052887,0.000000,0.000000,7409382030.910656,28211927320.936157,4296157835.119857,57948696021.369209,0.208004,0.791996,0.262633,0.127861,0.486843,0.775610,1.953304,1.704748,0.996485,0.916291,0.131442,0.004232,0.004232,0.004232,0.945619,inf,1.036854,3.228031
19,0.542857,158.574670,855.000000,156.990210,0.183614,0.185467,828.333333,126.666667,0.152918,81.250000,87.500000,2618933.881194,5.533077,0.000000,0.000000,1368212496489.874268,1654804332740.077393,37458287133.652740,7119883918844.364258,0.452598,0.547402,0.826812,0.192168,0.232420,nan,4.000000,inf,0.321178,inf,0.416043,0.120091,0.120091,0.120091,0.755765,inf,1.070387,3.559500
20,0.000000,8.089011,761.531532,12.211980,0.016036,0.010622,763.333333,6.666667,0.008734,0.000000,2.702703,539818.139959,5.476855,0.000000,0.000000,11106798723.943047,8905195224.809370,574217522.572458,39943066476.000748,0.555007,0.444993,1.247227,0.278066,0.222947,1.542611,3.543895,1.609438,0.886910,1.504077,0.047533,0.001802,0.001802,0.001802,0.984192,inf,1.037794,2.261786
21,0.900000,76.666667,835.000000,54.211520,0.064924,0.091816,835.000000,38.333333,0.045908,50.000000,50.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,0.000000,6.236096,758.468468,16.208415,0.021370,0.008222,760.000000,10.000000,0.013158,0.000000,0.000000,494763.478857,5.395222,0.000000,0.000000,21636370065.684013,6277497314.718346,319281038.387332,59680922650.955307,0.775112,0.224888,3.446655,0.362534,0.105184,1.311612,3.972306,1.609438,0.995887,1.504077,0.037655,0.003016,0.003016,0.003016,0.988004,inf,1.020619,2.101405
23,0.111111,139.455463,1071.388889,112.481525,0.104987,0.130163,1088.333333,60.000000,0.055130,66.666667,79.166667,3137582.438645,5.573894,0.000000,0.000000,1721951546074.789551,1716625468045.992920,51747055353.202377,5909099477930.997070,0.500774,0.499226,1.003103,0.291407,0.290505,0.374502,4.418296,inf,0.343626,1.098612,0.330973,0.047555,0.047555,0.047555,0.821274,inf,1.046000,3.245130
24,0.000000,31.008191,959.540230,28.280401,0.029473,0.032316,956.666667,23.333333,0.024390,6.896552,41.379310,1029058.373617,5.451445,0.000000,0.000000,55488493295.521042,88942675437.894058,5862143940.301558,213776993233.332184,0.384186,0.615814,0.623868,0.259563,0.416054,0.642810,3.810928,inf,0.446780,inf,0.117678,0.005308,0.005308,0.005308,0.952595,inf,1.036002,2.798195
25,0.129032,99.897383,903.333333,75.679260,0.083778,0.110588,906.666667,26.666667,0.029412,44.444444,77.777778,2443523.926755,5.533077,0.000000,0.000000,452737446109.020203,767472073584.093750,38723856144.963760,1873796264331.768555,0.371033,0.628967,0.589907,0.241615,0.409581,0.522676,4.430632,1.609438,0.756454,2.484907,0.296047,0.032515,0.032515,0.032515,0.846015,inf,1.064834,2.780421
26,0.000000,59.589646,1168.133333,46.558207,0.039857,0.051013,1186.666667,23.333333,0.019663,36.000000,64.000000,1255518.839696,5.533077,0.000000,0.000000,98126375942.771332,246747562649.119232,14343041892.478313,486718545160.252441,0.284528,0.715472,0.397679,0.201608,0.506961,0.455652,3.973661,inf,0.658062,1.203973,0.167607,0.008991,0.008991,0.008991,0.926229,inf,1.062367,2.827038
27,0.000000,38.369548,1165.466667,30.654587,0.026302,0.032922,1163.333333,20.000000,0.017192,16.000000,52.000000,948479.276662,5.354406,0.000000,0.000000,66506587384.372650,110363010864.764420,2461602801.704120,266229279752.045227,0.376020,0.623980,0.602617,0.249809,0.414541,0.809659,4.133661,inf,0.319139,1.098612,0.119449,0.004315,0.004315,0.004315,0.951711,inf,1.071614,2.989623
28,0.924051,53.748385,636.666667,35.839147,0.056292,0.084422,630.000000,28.333333,0.044974,50.000000,66.666667,283422.256243,5.369812,0.000000,0.000000,844444924245.477783,18384414701.033112,162157370.596656,1873167527962.432861,0.978693,0.021307,45.932652,0.450811,0.009815,nan,2.584963,inf,-0.000000,inf,0.243807,0.017317,0.017317,0.017317,0.880703,inf,1.075101,nan
29,0.090909,85.927440,851.000000,57.888451,0.068024,0.100972,841.666667,5.000000,0.005941,10.000000,26.666667,736761.332157,4.759278,0.000000,0.000000,345384889948.889771,336878324999.346497,8577983032.773027,1194215559680.433105,0.506234,0.493766,1.025251,0.289215,0.282092,0.455426,3.444414,0.644357,1.211541,0.693147,0.277689,0.023755,0.023755,0.023755,0.858522,inf,1.063906,3.323015
30,0.000000,48.254725,913.333333,41.302856,0.045222,0.052834,913.333333,23.333333,0.025547,22.580645,70.967742,1431289.879433,5.288179,0.000000,0.000000,93193490176.807312,79765291487.188431,30241278764.435852,366839425876.512207,0.538819,0.461181,1.168346,0.254044,0.217439,1.197047,4.131300,2.079442,0.567493,1.791759,0.172036,0.011294,0.011294,0.011294,0.923752,inf,1.064756,2.565713
31,0.000000,22.922979,1164.133333,26.198671,0.022505,0.019691,1163.333333,16.666667,0.014327,4.000000,20.000000,510231.571872,5.492261,0.000000,0.000000,41160220813.170135,46479734559.424149,443476153.564121,152556357731.589661,0.469651,0.530349,0.885552,0.269803,0.304673,0.221899,3.943465,1.791759,0.792383,inf,0.079210,0.003269,0.003269,0.003269,0.970811,inf,1.038873,2.523733
32,0.000000,36.333716,850.707071,29.116118,0.034226,0.042710,856.666667,20.000000,0.023346,21.212121,63.636364,1466741.255341,5.379816,0.000000,0.000000,13218866783.880470,83375378616.579102,12252923044.158257,151151850430.353119,0.136849,0.863151,0.158546,0.087454,0.551600,0.334031,4.392583,1.609438,0.707263,1.609438,0.146253,0.006939,0.006939,0.006939,0.937859,inf,1.046933,2.491148
33,0.204545,66.541549,624.095238,43.258500,0.069314,0.106621,610.000000,6.666667,0.010929,22.857143,22.857143,813337.882855,5.395222,0.000000,0.000000,79876143438.078293,282348599997.470398,57372090889.034203,576562585264.064209,0.220515,0.779485,0.282899,0.138539,0.489710,0.697837,3.247160,0.655407,1.243679,1.285198,0.288722,0.023718,0.023718,0.023718,0.851046,inf,1.061458,2.449807
34,0.000000,8.270597,838.989899,6.896298,0.008220,0.009858,836.666667,6.666667,0.007968,0.000000,0.000000,249418.610248,5.573894,0.000000,0.000000,2888553089.224177,4006147659.545498,776575540.295362,11489579864.424488,0.418953,0.581047,0.721030,0.251406,0.348677,0.464483,2.734127,1.871802,0.058606,1.252763,0.044690,0.000535,0.000535,0.000535,0.985308,inf,1.050175,2.485685
35,0.034483,56.141356,946.309524,65.705035,0.069433,0.059327,961.666667,38.333333,0.039861,50.000000,75.000000,2660292.492995,5.573894,0.000000,0.000000,97342056619.420761,456851441240.821167,2890611543.545484,834712189748.667480,0.175646,0.824354,0.213072,0.116618,0.547316,0.823261,4.423252,inf,0.692078,inf,0.185769,0.023723,0.023723,0.023723,0.915938,inf,1.041746,2.677895
36,0.033333,80.076848,882.873563,123.348532,0.139713,0.090700,876.666667,86.666667,0.098859,37.931034,72.413793,3808879.882393,5.436039,0.000000,0.000000,833600142298.801147,958787495100.329346,7865878390.219674,4103553848637.285645,0.465078,0.534922,0.869432,0.203141,0.233648,1.098580,4.789015,1.280934,0.785213,inf,0.257115,0.076354,0.076354,0.076354,0.872130,inf,1.036002,2.549538
37,0.000000,27.672690,1094.230769,28.914551,0.026425,0.025290,1095.000000,20.000000,0.018265,7.692308,30.769231,1171869.729448,5.328996,0.000000,0.000000,70112643038.442368,62034187955.663811,3792375442.405332,247870223477.626343,0.530566,0.469434,1.130226,0.282860,0.250269,1.313952,4.085055,inf,0.689862,inf,0.096852,0.004358,0.004358,0.004358,0.962702,inf,1.041452,2.529923
38,0.000000,12.654838,796.737589,18.117829,0.022740,0.015883,800.000000,10.000000,0.012500,0.000000,12.765957,863744.143413,5.476855,0.000000,0.000000,37151690992.067375,13146274461.770889,2356451983.341240,92111704099.681671,0.738632,0.261368,2.826024,0.403333,0.142721,1.359539,3.889933,1.386294,1.033259,2.862201,0.066381,0.003388,0.003388,0.003388,0.976425,inf,1.042564,1.878108
39,0.000000,17.108187,729.004329,28.092709,0.038536,0.023468,723.333333,20.000000,0.027650,1.298701,18.181818,3000369.601046,5.410628,0.000000,38575000067.175659,70282981555.091354,27479837124.080448,3594832862.828258,208332353406.762817,0.718913,0.281087,2.557620,0.337360,0.131904,1.270347,4.717433,1.504077,1.248407,1.804498,0.091207,0.008683,0.008683,0.008683,0.965344,nan,1.034492,1.902146
40,0.000000,4.624812,688.699187,4.937276,0.007169,0.006715,690.000000,3.333333,0.004831,0.000000,0.000000,211845.709991,5.573894,0.000000,0.000000,1108227714.151868,2525246459.180788,160660186.144623,5851684418.123153,0.305005,0.694995,0.438859,0.189386,0.431542,1.174517,2.422360,1.466337,0.000000,1.609438,0.032297,0.000419,0.000419,0.000419,0.989987,inf,1.028225,2.301619
41,0.080000,109.242109,1134.782609,72.039734,0.063483,0.096267,1143.333333,40.000000,0.034985,69.565217,95.652174,2225920.979018,5.492261,0.000000,0.000000,131271203094.746460,492678138182.162903,130205410578.331650,966728601891.060913,0.210388,0.789612,0.266444,0.135789,0.509634,0.216047,4.436605,inf,0.306484,2.302585,0.267805,0.020128,0.020128,0.020128,0.865113,inf,1.079830,2.834191
42,0.895238,86.749960,703.636364,71.062641,0.100993,0.123288,680.000000,60.000000,0.088235,36.363636,63.636364,1845060.983708,4.816354,0.000000,0.000000,7381512459769.634766,1150691999103.379639,4314202289.022922,12323806683855.316406,0.865135,0.134865,6.414846,0.598964,0.093371,nan,3.459432,inf,0.203930,inf,0.315351,0.042451,0.042451,0.042451,0.832494,inf,1.074884,nan
43,0.157895,26.450739,799.479167,34.036765,0.042574,0.033085,810.000000,6.666667,0.008230,6.250000,9.375000,450336.121311,5.158291,0.000000,0.000000,159885873528.637634,98637898260.528366,9788298844.446178,542904154366.101074,0.618457,0.381543,1.620938,0.294501,0.181686,1.077667,3.027518,0.584738,1.147849,1.304949,0.119286,0.010179,0.010179,0.010179,0.951792,inf,1.045419,2.929752
44,0.107143,71.776402,1046.133333,84.605183,0.080874,0.068611,1053.333333,50.000000,0.047468,52.000000,72.000000,2221566.882321,5.573894,0.000000,0.000000,792399479496.321533,409752763660.432678,16724622257.070091,2336072665190.711426,0.659151,0.340849,1.933848,0.339202,0.175402,0.790333,4.403856,1.386294,0.557279,1.945910,0.208753,0.030546,0.030546,0.030546,0.902407,inf,1.048338,2.320439
45,0.000000,15.117160,751.929825,15.988577,0.021263,0.020104,753.333333,13.333333,0.017699,0.000000,13.157895,945853.084512,5.313590,0.000000,0.000000,15773830029.805811,26039481437.882336,337015158.851619,67379914806.274315,0.377244,0.622756,0.605766,0.234103,0.386458,0.950382,3.865577,inf,0.685332,2.397895,0.080384,0.002994,0.002994,0.002994,0.970285,inf,1.031055,2.216588
46,0.032258,71.158988,942.888889,82.470166,0.087465,0.075469,926.666667,41.666667,0.044964,33.333333,63.333333,3065630.786892,5.272773,0.000000,0.000000,632452361459.517090,533963006877.488098,25469677145.253868,2312037175386.956055,0.542219,0.457781,1.184450,0.273548,0.230949,1.329796,4.481728,1.945910,0.885994,1.704748,0.224818,0.035090,0.035090,0.035090,0.892618,inf,1.030714,2.771846
47,0.419355,100.009803,826.481481,86.715463,0.104921,0.121007,835.000000,73.333333,0.087824,55.555556,77.777778,1989345.250473,5.436039,0.000000,0.000000,1193644146117.079346,600532345557.059326,13995568175.736475,3600436088310.149414,0.665288,0.334712,1.987643,0.331528,0.166794,0.326735,4.169925,1.791759,0.573178,inf,0.313451,0.047102,0.047102,0.047102,0.833842,inf,1.060009,3.075069
48,0.064516,119.496297,944.252874,138.658243,0.146844,0.126551,893.333333,80.000000,0.089552,31.034483,65.517241,2749094.381423,5.533077,0.000000,0.000000,1584427424585.489258,943577955234.809082,22793289498.705750,4998674826394.493164,0.626750,0.373250,1.679170,0.316969,0.188766,1.463725,4.513153,0.510826,1.045677,1.609438,0.322486,0.082793,0.082793,0.082793,0.827400,inf,1.032082,2.492345
49,0.162162,63.385943,729.892473,43.618581,0.059760,0.086843,733.333333,30.000000,0.040909,41.935484,83.870968,2741876.936318,5.451445,0.000000,0.000000,131449763258.536163,154283857473.269226,47086989126.626854,572122835244.286255,0.460043,0.539957,0.851999,0.229758,0.269669,0.857849,4.413716,1.945910,0.457428,2.047693,0.249533,0.018321,0.018321,0.018321,0.877036,inf,1.081875,2.724901
50,0.037037,15.158423,702.564103,25.198019,0.035866,0.021576,706.666667,15.000000,0.021226,0.000000,15.384615,561251.211422,5.134919,0.000000,0.000000,39977002082.619324,60160342764.081345,0.000000,165687688842.335297,0.399222,0.600778,0.664508,0.241279,0.363095,1.460321,3.671406,2.079442,0.932354,1.098612,0.085281,0.007483,0.007483,0.007483,0.968069,inf,1.027854,2.464192
51,0.000000,23.076821,723.178295,25.541267,0.035318,0.031910,720.000000,13.333333,0.018519,4.651163,30.232558,1521963.862896,5.492261,0.000000,0.000000,42140706941.707878,78638386823.796417,2349281325.003820,180573878728.009766,0.348907,0.651093,0.535880,0.233371,0.435491,0.796737,4.301508,2.397895,0.805693,2.685577,0.116466,0.007381,0.007381,0.007381,0.953199,inf,1.035978,2.378798
52,0.019608,58.955381,771.866667,38.374926,0.049717,0.076380,770.000000,16.666667,0.021645,18.000000,32.000000,2336110.723916,5.492261,0.000000,0.000000,19254657197.808685,131087738937.041290,46894782351.534935,235384483928.013092,0.128072,0.871928,0.146884,0.081801,0.556909,0.529379,4.416175,1.325670,1.274449,1.178655,0.227239,0.013492,0.013492,0.013492,0.891120,inf,1.039436,2.226071
53,0.200000,191.433497,1113.666667,139.396779,0.125169,0.171895,1156.666667,50.000000,0.043228,65.000000,70.000000,2607705.041106,4.940841,0.000000,0.000000,1408609894330.973145,4392344904191.976562,48739607079.446899,10156618147143.232422,0.242824,0.757176,0.320697,0.138689,0.432461,-0.210043,4.121928,1.386294,0.863780,inf,0.397428,0.063448,0.063448,0.063448,0.770745,inf,1.052126,3.106660
54,0.050000,74.282577,938.245614,68.017503,0.072494,0.079172,936.666667,40.000000,0.042705,36.842105,57.894737,725354.858891,5.369812,0.000000,0.000000,173850302609.143951,381433489259.377686,0.000000,893948947721.902710,0.313084,0.686916,0.455781,0.194475,0.426684,1.127321,3.681881,0.485508,0.382647,1.098612,0.232238,0.025067,0.025067,0.025067,0.888006,inf,1.048975,2.546974
55,0.000000,117.429362,912.111111,61.166711,0.067061,0.128745,920.000000,45.000000,0.048913,53.333333,70.000000,1442570.237381,5.492261,0.000000,0.000000,7203213261.804547,112897277635.226837,149696085049.121338,336060747554.156311,0.059977,0.940023,0.063803,0.021434,0.335943,0.208909,4.161406,1.049822,0.915394,1.034074,0.329357,0.031369,0.031369,0.031369,0.822446,inf,1.071111,2.723376
56,0.000000,15.439684,1230.724638,21.032839,0.017090,0.012545,1230.000000,16.666667,0.013550,0.000000,13.043478,537828.898365,5.451445,0.000000,0.000000,36557364128.684380,16312693821.755342,710469296.879541,112580649792.575851,0.691457,0.308543,2.241038,0.324722,0.144898,1.245383,3.827910,1.098612,0.384756,1.609438,0.054626,0.001990,0.001990,0.001990,0.981340,inf,1.043346,2.504558
57,0.153846,149.510666,990.151515,124.906218,0.126149,0.150998,1008.333333,33.333333,0.033058,40.909091,68.181818,2191380.344303,5.339000,0.000000,0.000000,1990275739798.230957,2033012577665.969238,111419545924.615402,5932475599292.752930,0.494689,0.505311,0.978979,0.335488,0.342692,1.054861,4.095795,1.223775,0.698570,inf,0.365259,0.066461,0.066461,0.066461,0.795775,inf,1.040320,2.662897
58,0.033333,29.168367,946.781609,35.629072,0.037632,0.030808,946.666667,20.000000,0.021127,10.344828,37.931034,1381193.323318,5.328996,0.000000,0.000000,34004618690.644936,96716535423.668762,3982876879.661259,229578236455.035706,0.260131,0.739869,0.351591,0.148118,0.421279,0.950990,4.116265,1.704748,0.621394,1.945910,0.112471,0.008169,0.008169,0.008169,0.955174,inf,1.039904,2.477781
59,0.191176,154.564968,870.363636,123.539489,0.141940,0.177587,866.666667,90.000000,0.103846,56.363636,74.545455,12351497.809124,5.476855,0.000000,163119911321.325745,1046473332879.176514,1664810653568.670898,80833450630.332443,3486399294677.543457,0.385970,0.614030,0.628584,0.300159,0.477516,0.860057,5.403998,1.909543,0.785294,1.860752,0.406106,0.079421,0.079421,0.079421,0.763807,inf,1.050150,2.250337
60,0.052632,17.054315,626.481481,18.872542,0.030125,0.027222,620.000000,5.000000,0.008065,5.555556,11.111111,497308.433492,4.964214,0.000000,0.000000,351590920188.261169,151202546517.026825,169091552.603911,1511227301125.096924,0.699275,0.300725,2.325298,0.232653,0.100053,1.408077,2.621353,0.559616,1.312283,1.178655,0.102089,0.005450,0.005450,0.005450,0.960213,inf,1.022839,3.124171
61,0.052632,67.610959,893.148148,43.723316,0.048954,0.075700,903.333333,10.000000,0.011070,11.111111,11.111111,436212.140601,4.005956,0.000000,0.000000,56332094242.226830,123227114963.507416,0.000000,300006031639.934570,0.313724,0.686276,0.457140,0.187770,0.410749,1.354247,3.461320,0.492476,1.133795,2.079442,0.226046,0.013577,0.013577,0.013577,0.891859,inf,1.030357,2.667121
62,0.193548,117.579519,900.866667,88.252909,0.097964,0.130518,891.666667,61.666667,0.069159,66.000000,82.000000,8904838.337501,5.476855,0.000000,173550553398.774109,938457161552.360229,923012799344.285400,86439354930.450287,2587444754922.221680,0.504148,0.495852,1.016733,0.362697,0.356728,0.687244,5.213661,2.197225,0.975340,3.583519,0.331466,0.043157,0.043157,0.043157,0.820916,inf,1.056337,2.253647
63,0.181818,31.196196,1250.185185,27.211883,0.021766,0.024953,1256.666667,18.333333,0.014589,11.111111,50.000000,616062.641443,5.451445,0.000000,0.000000,30467753251.508633,60598012135.079346,616037959.304383,175422095695.214233,0.334569,0.665431,0.502785,0.173683,0.345441,1.047356,3.725481,1.098612,0.386563,inf,0.094855,0.003057,0.003057,0.003057,0.963641,inf,1.067326,2.620006
64,0.057143,93.884163,815.252525,75.746426,0.092912,0.115160,803.333333,40.000000,0.049793,51.515152,81.818182,2596306.266209,5.369812,0.000000,0.000000,344967448118.722595,616753515703.733398,29345885548.099991,1549382478169.279541,0.358698,0.641302,0.559328,0.222648,0.398064,0.791724,4.438334,inf,0.493588,1.152680,0.304229,0.038955,0.038955,0.038955,0.840330,inf,1.056619,2.540700
65,0.260870,20.982797,1261.568627,22.672721,0.017972,0.016632,1256.666667,16.666667,0.013263,0.000000,29.411765,416736.439572,5.241962,0.000000,0.000000,21230585000.358067,28989067904.603283,493277733.349985,111705074452.776749,0.422755,0.577245,0.732365,0.190059,0.259514,nan,3.616875,inf,0.253130,inf,0.068833,0.002147,0.002147,0.002147,0.975371,inf,1.080594,2.470035
66,0.205882,131.574944,828.148148,87.390143,0.105525,0.158879,860.000000,56.666667,0.065891,66.666667,74.074074,3367467.896370,5.492261,0.000000,0.000000,449634288232.646301,817086171857.281982,127595398487.501587,2001070368569.748047,0.354959,0.645041,0.550290,0.224697,0.408325,0.345307,4.458591,1.098612,0.609861,2.639057,0.379662,0.047941,0.047941,0.047941,0.784702,inf,1.081375,2.798899
67,0.000000,39.551052,948.735632,57.840872,0.060966,0.041688,960.000000,33.333333,0.034722,10.344828,48.275862,2020519.100482,5.109508,0.000000,0.000000,190927539638.473297,112447880782.118469,13448919669.983717,655714488538.626587,0.629344,0.370656,1.697920,0.291175,0.171489,1.305182,4.280226,2.484907,0.724384,inf,0.142991,0.018926,0.018926,0.018926,0.939590,inf,1.043788,2.180876
68,0.424242,208.206628,855.789474,142.849494,0.166921,0.243292,810.000000,30.000000,0.037037,47.368421,68.421053,1977496.502570,5.231957,0.000000,0.000000,1365298541881.925537,2068810381021.020508,144502004075.110382,5045342625257.795898,0.397570,0.602430,0.659944,0.270606,0.410044,0.602907,4.037401,1.791759,0.904718,inf,0.492110,0.100246,0.100246,0.100246,0.690645,inf,1.076128,2.665019
